Log;Login
Enter;Enter
Filter;Filter
Sort;Sort
Type;Type
Species;Species
English;English
Romanian;Romanian
German;German
Search;Search
Select;Select the filter criteria:
Location;Location
Username;Username
Password;Password
Login;Login page
Create;Create
Delete;Delete
Update;Update
Name;Name
Carnivorous;Carnivorous
Statistics;Statistics
Save;Save
Status;Status
Admin;Admin
Employee;Employee
Reset;Reset list
Show ;Show statistics
FilterUsers;FilterUsers
Hide;Hide plant list
Load;Load plant list
